Name,Endangerment,Speakers,Latitude,Longitude,CountriesCount,Countries
Dubu,Vulnerable,110,-3.5134,140.8612,1,Indonesia
Haisla,Critically endangered,110,53.9745,-128.6443,1,Canada
Heiltsuk,Critically endangered,105,52.1591,-128.1546,1,Canada
Kwegu,Critically endangered,103,5.4191,36.0791,1,Ethiopia
Adnyamathanha,Definitely endangered,100,-30.6,138.6035,1,Australia
Ainbai,Severely endangered,100,-3.1,141.2,1,Papua New Guinea
Arem,Severely endangered,100,18.1771,105.3369,2,"Lao People's Democratic Republic, Viet Nam"
Banawá Yafi,Vulnerable,100,-6.6427,-64.5996,1,Brazil
Bara (Colombia),Critically endangered,100,0.05,-70.1733,1,Colombia
Bikaru,Severely endangered,100,-4.8,143,1,Papua New Guinea
Boor,Critically endangered,100,10.2149,17.3721,1,Chad
Burate,Severely endangered,100,-2.7811,135.9915,1,Indonesia
Callahuaya,Critically endangered,100,-15.1357,-69.1699,1,Bolivia (Plurinational State of)
Comanche,Severely endangered,100,34.6086,-98.3904,1,United States of America
Djinang,Definitely endangered,100,-12.3507,135.1098,1,Australia
Dulbu,Critically endangered,100,9.985,10.0579,1,Nigeria
Ghomara,Critically endangered,100,35.0108,-5.5151,1,Morocco
Itelmen,Critically endangered,100,57.1496,156.9012,1,Russian Federation
Jebero,Critically endangered,100,-5.3097,-75.9814,1,Peru
Jilbe,Critically endangered,100,11.749,14.5458,1,Nigeria
Kalamo,Severely endangered,100,-6.7,142.5,1,Papua New Guinea
Kanowit,Severely endangered,100,2.0652,112.1489,1,Malaysia
Karas,Severely endangered,100,-3.4585,132.6599,1,Indonesia
Kiong,Critically endangered,100,5.2906,8.3523,1,Nigeria
Kofei,Severely endangered,100,-2.3833,136.7907,1,Indonesia
Likum,Definitely endangered,100,-2.1651,146.6921,1,Papua New Guinea
Maricopa,Severely endangered,100,33.3772,-112.1676,1,United States of America
Mohave (Arizona),Severely endangered,100,34.0231,-114.5045,1,United States of America
Mohave (California),Severely endangered,100,34.6905,-114.598,1,United States of America
Molo,Critically endangered,100,10.898,34.2773,1,Sudan
Mvanip,Critically endangered,100,6.7027,11.2225,1,Nigeria
Nafi,Severely endangered,100,-6.3999,146.802,1,Papua New Guinea
Ninam (Venezuela),Vulnerable,100,4.5435,-63.5668,1,Venezuela (Bolivarian Republic of)
Omagua (Peru),Critically endangered,100,-4.0724,-73.103,1,Peru
Oroch,Critically endangered,100,49.1781,139.7625,1,Russian Federation
Oroha,Severely endangered,100,-9.7686,161.51,1,Solomon Islands
