Name,Endangerment,Speakers,Latitude,Longitude,CountriesCount,Countries
Ainu (Hokkaido),Critically endangered,15,43.2612,142.8222,1,Japan
Jaminjung,Severely endangered,15,-15.2417,130.5725,1,Australia
Mwesen,Critically endangered,15,-13.874,167.5415,1,Vanuatu
Sechelt,Critically endangered,15,50.0846,-123.7437,1,Canada
Tanana,Critically endangered,15,64.605,-149.0625,1,United States of America
Ingalik,Critically endangered,14,62.1655,-156.3134,1,United States of America
Jingulu,Severely endangered,14,-17.3716,134.187,1,Australia
Zapotec of Mixtepe,Critically endangered,14,16.2666,-96.3666,1,Mexico
Woria,Critically endangered,13,-2.4011,136.4886,1,Indonesia
Aruá,Severely endangered,12,-12.0285,-64.7094,1,Brazil
Han (United States of America),Critically endangered,12,64.7837,-141.2172,1,United States of America
Hupa,Critically endangered,12,41.7624,-123.7028,1,United States of America
Karuk,Severely endangered,12,41.7929,-123.3763,1,United States of America
Makah,Critically endangered,12,48.3658,-124.6118,1,United States of America
Ngaliwuru,Critically endangered,12,-15.5595,131.0614,1,Australia
Ofayé,Critically endangered,12,-21.361,-52.0532,1,Brazil
Umpila,Severely endangered,12,-13.0366,143.3386,1,Australia
Yurok,Critically endangered,12,41.0607,-124.1413,1,United States of America
Kinikinau,Critically endangered,11,-21.0685,-56.2765,1,Brazil
Wagiman,Severely endangered,11,-14.1845,131.6546,1,Australia
Achumawi,Critically endangered,10,40.8816,-122.6715,1,United States of America
Arho,Critically endangered,10,-21.274,165.0503,1,New Caledonia (France)
Arikara,Critically endangered,10,47.648,-101.8327,1,United States of America
Ayizi,Critically endangered,10,24.5964,103.7329,1,China
Ch'orti' (Honduras),Critically endangered,10,14.9364,-88.865,1,Honduras
Chung (Thailand),Critically endangered,10,14.4897,99.1661,1,Thailand
Copper Island Aleut,Critically endangered,10,54.7753,167.5662,1,Russian Federation
Gros Ventre,Critically endangered,10,48.4824,-108.7639,1,United States of America
Gweno,Critically endangered,10,-3.7135,37.6501,1,United Republic of Tanzania
Hoti,Critically endangered,10,-3.0143,130.3692,1,Indonesia
Hulung,Critically endangered,10,-2.8614,128.5606,1,Indonesia
Ibu,Critically endangered,10,1.5269,127.5265,1,Indonesia
Iranxe,Critically endangered,10,-12.6939,-57.843,1,Brazil
Kamarian,Critically endangered,10,-3.4366,128.5345,1,Indonesia
Karajarri,Critically endangered,10,-19.0205,122.3437,1,Australia
Karipuna,Definitely endangered,10,-10.2284,-64.5556,1,Brazil
Katawixi,Critically endangered,10,-8.8416,-66.0937,1,Brazil
Kawaiisu,Critically endangered,10,35.0589,-118.4026,1,United States of America
Krenak,Critically endangered,10,-19.1937,-41.1527,1,Brazil
Kurrama,Critically endangered,10,-21.6383,117.9711,1,Australia
Lardil,Critically endangered,10,-16.5526,139.3176,1,Australia
Lorediakarkar,Critically endangered,10,-15.1967,167.0498,1,Vanuatu
Madngele,Critically endangered,10,-13.3789,130.5395,1,Australia
Malak Malak,Critically endangered,10,-13.7713,130.6384,1,Australia
Manchu (Amur),Critically endangered,10,49.7666,127.5,1,China
Manchu (Nonni),Critically endangered,10,48.0083,124.3542,1,China
Mandan,Critically endangered,10,47.5165,-102.2461,1,United States of America
Marrisyefin,Critically endangered,10,-13.934,129.8254,1,Australia
Massalat,Critically endangered,10,12.7635,20.5993,1,Chad
Matipu,Critically endangered,10,-12.2366,-53.1875,1,Brazil
Mawayana (Brazil),Critically endangered,10,-0.9447,-58.2495,2,"Brazil, Suriname"
Munsee (Canada),Critically endangered,10,42.57,-81.879,1,Canada
Ngardi,Critically endangered,10,-20.6327,128.5839,1,Australia
Ngbinda,Critically endangered,10,4.6092,27.0812,1,Democratic Republic of the Congo
Northern Paiute (Idaho),Critically endangered,10,43.0439,-112.4566,1,United States of America
Nusa Laut,Critically endangered,10,-3.6833,128.8,1,Indonesia
Oneida (Wisconsin),Critically endangered,10,44.5158,-88.0075,1,United States of America
Onondaga (New York),Critically endangered,10,43.047,-76.1422,1,United States of America
Osage,Critically endangered,10,36.6683,-96.3316,1,United States of America
Parintintin,Critically endangered,10,-6.5773,-61.7871,1,Brazil
Pawnee,Critically endangered,10,36.3372,-96.8032,1,United States of America
Puari,Critically endangered,10,-2.8689,141.6577,1,Papua New Guinea
Rembarrnga,Critically endangered,10,-13.3896,133.6706,1,Australia
Sene,Critically endangered,10,-6.3753,147.7825,1,Papua New Guinea
Susuami,Critically endangered,10,-7.2044,146.5493,1,Papua New Guinea
Taap,Critically endangered,10,-6.146,146.3955,1,Papua New Guinea
Ter Saami,Critically endangered,10,68.0638,38.7063,1,Russian Federation
Thao,Critically endangered,10,23.8808,120.9206,1,China
Tule-Kaweah Yokuts,Critically endangered,10,36.0269,-118.7213,1,United States of America
Tundra Enets,Critically endangered,10,71.6973,83.5839,1,Russian Federation
Wichita,Critically endangered,10,35.0647,-98.2788,1,United States of America
Xambioá,Critically endangered,10,-7.1717,-49.1583,1,Brazil
Yawalapiti,Critically endangered,10,-12.1702,-53.3365,1,Brazil
Yiiji,Critically endangered,10,-15.8458,127.6281,1,Australia
Arára Shawãdáwa,Critically endangered,9,-8.581,-72.29,1,Brazil
Kuuku Ya'u,Critically endangered,9,-12.0185,142.8112,1,Australia
Ngandi,Critically endangered,9,-13.6459,135.2087,1,Australia
Ngarluma,Critically endangered,9,-21.1664,117.3339,1,Australia
Zaparo,Critically endangered,9,-2.2186,-76.5087,2,"Ecuador, Peru"
Ongota,Critically endangered,8,5.3207,37.2244,1,Ethiopia
Ajuru,Severely endangered,8,-12.0178,-64.7534,1,Brazil
Araki,Critically endangered,8,-15.6322,166.9413,1,Vanuatu
Busuu,Critically endangered,8,6.8282,10.1087,1,Cameroon
Chamicuro,Critically endangered,8,-5.5285,-75.5969,1,Peru
Dumi,Critically endangered,8,27.3095,86.7521,1,Nepal
Kayardild,Critically endangered,8,-17.1197,139.4604,1,Australia
Munichi,Critically endangered,8,-5.8182,-76.1846,1,Peru
N|uu,Critically endangered,8,-28.5169,21.4453,1,South Africa
Xetá,Critically endangered,8,-23.2867,-53.3935,1,Brazil
Kiksht,Critically endangered,7,44.2708,-121.2871,1,United States of America
Makolkol,Critically endangered,7,-4.8994,151.6827,1,Papua New Guinea
Anambé,Critically endangered,6,-2.7674,-49.2297,1,Brazil
Arabana,Critically endangered,6,-28.6134,135.8349,1,Australia
Ipai,Critically endangered,6,32.9359,-116.868,1,United States of America
Karaim (Western Ukraine),Critically endangered,6,50.7538,25.3351,1,Ukraine
Kings River Yokuts,Critically endangered,6,36.9104,-118.9261,1,United States of America
Korana,Critically endangered,6,-26.9352,24.1254,1,South Africa
Mangarrayi,Critically endangered,6,-14.8067,133.8793,1,Australia
Northern Sierra Miwok,Critically endangered,6,38.4008,-120.5351,1,United States of America
Abaga,Critically endangered,5,-6.1883,145.5976,1,Papua New Guinea
"Aleut (Western, Commander Islands)",Critically endangered,5,55.171,166.094,1,Russian Federation
Aqaw Gelao,Critically endangered,5,28.7447,106.0714,1,China
Central Selkup,Critically endangered,5,59.8903,82.0129,1,Russian Federation
Cocama-Cocamilla (Brazil),Critically endangered,5,-1.8043,-66.5332,1,Brazil
Dyirbal,Critically endangered,5,-18.0205,145.4809,1,Australia
Gamilaraay,Critically endangered,5,-29.7929,149.7106,1,Australia
Great andamanese,Critically endangered,5,12.2326,92.9031,1,India
Guató,Critically endangered,5,-17.644,-57.6562,1,Brazil
Holikachuk,Critically endangered,5,64.2254,-155.3027,1,United States of America
Isarog Agta,Critically endangered,5,13.6805,123.3805,1,Philippines
Itonama,Critically endangered,5,-13.6246,-63.5668,1,Bolivia (Plurinational State of)
Juma,Critically endangered,5,-7.4496,-63.8195,1,Brazil
Kalispel,Critically endangered,5,48.2549,-117.2174,1,United States of America
Kanoê,Critically endangered,5,-13.1222,-61.051,1,Brazil
Liki,Critically endangered,5,-1.6202,138.738,1,Indonesia
Luiseño,Critically endangered,5,33.4622,-117.1269,1,United States of America
Lushootseed,Critically endangered,5,47.6074,-122.5681,1,United States of America
Mansim,Critically endangered,5,-0.9008,134.0441,1,Indonesia
Naman,Critically endangered,5,-16.1216,167.4337,1,Vanuatu
Nasarian,Critically endangered,5,-16.3517,167.4659,1,Vanuatu
Ndai,Critically endangered,5,8.399,14.1641,1,Cameroon
Ngalakan,Critically endangered,5,-14.5729,134.4946,1,Australia
Oro Win,Critically endangered,5,-11.6683,-65.1379,1,Brazil
Resígaro,Critically endangered,5,-2.7674,-71.7187,1,Peru
Southern Selkup,Critically endangered,5,58.6626,85.8581,1,Russian Federation
Vano,Critically endangered,5,-11.6286,166.8383,1,Solomon Islands
Wunambal,Critically endangered,5,-15.6124,125.0024,1,Australia
Yuchi,Critically endangered,5,36.0009,-96.0988,1,United States of America
Bonerif,Critically endangered,4,-2.1088,139.2352,1,Indonesia
Coeur d'Alene,Critically endangered,4,43.3433,-116.8873,1,United States of America
Dharawal,Critically endangered,4,-34.7235,150.5786,1,Australia
Lengilu,Critically endangered,4,3.7327,115.8728,1,Indonesia
Ouma,Critically endangered,4,-10.233,149.1,1,Papua New Guinea
Paakantyi,Critically endangered,4,-31.5598,143.3935,1,Australia
Saponi,Critically endangered,4,-2.4025,136.5037,1,Indonesia
Tanema,Critically endangered,4,-11.6986,166.9111,1,Solomon Islands
Tehuelche,Critically endangered,4,-51.5087,-70.3125,1,Argentina
Totoró,Critically endangered,4,2.504,-76.4016,1,Colombia
Waanyi,Critically endangered,4,-17.7486,138.2739,1,Australia
Worrorra,Critically endangered,4,-16.4887,124.6289,1,Australia
Baldemu,Critically endangered,3,10.5742,14.5623,1,Cameroon
Bung,Critically endangered,3,6.5718,11.8267,1,Cameroon
Canichana,Extinct,3,-14.5835,-64.9731,1,Bolivia (Plurinational State of)
Central Pomo,Critically endangered,3,38.9704,-123.6893,1,United States of America
Central Sierra Miwok,Critically endangered,3,37.962,-120.2384,1,United States of America
Chemehuevi,Critically endangered,3,34.0138,-114.2146,1,United States of America
Kiowa Apache,Critically endangered,3,35.1018,-98.6033,1,United States of America
Konkow,Critically endangered,3,39.467,-121.5155,1,United States of America
Lake Miwok,Critically endangered,3,38.6426,-122.3849,1,United States of America
Mabiri,Critically endangered,3,12.1682,18.7275,1,Chad
Mescalero-Chiricahua Apache (Oklahoma),Critically endangered,3,34.8986,-98.3589,1,United States of America
Northern Pomo,Critically endangered,3,39.4143,-123.3502,1,United States of America
Sabanê,Critically endangered,3,-12.5277,-59.6859,1,Brazil
Southern Pomo,Critically endangered,3,38.7048,-122.8971,1,United States of America
Southern Sierra Miwok,Critically endangered,3,37.6148,-119.789,1,United States of America
Tubatulabal,Critically endangered,3,35.6444,-118.5183,1,United States of America
Tuscarora (United States of America),Critically endangered,3,43.0877,-79.0627,1,United States of America
Andoa (Peru),Critically endangered,2,-2.6796,-76.2011,1,Peru
Arikapu,Critically endangered,2,-12.0527,-64.7259,1,Brazil
Aurê-Aurá,Critically endangered,2,-2.9649,-46.2084,1,Brazil
Baré (Brazil),Critically endangered,2,0.4394,-68.2031,1,Brazil
Cayuvava,Critically endangered,2,-12.7903,-65.3247,1,Bolivia (Plurinational State of)
Gajerrong,Critically endangered,2,-15.222,128.6059,1,Australia
Ganggalidda,Critically endangered,2,-17.1001,138.3618,1,Australia
Klallam,Critically endangered,2,47.8475,-122.585,1,United States of America
Kunjen,Critically endangered,2,-16.1316,142.207,1,Australia
Kuruáya,Critically endangered,2,-5.0033,-53.9208,1,Brazil
Lemerig,Critically endangered,2,-13.7473,167.4096,1,Vanuatu
Luri,Critically endangered,2,9.9255,9.5965,1,Nigeria
Maidu,Critically endangered,2,40.4134,-120.6738,1,United States of America
Oneida (New York),Critically endangered,2,43.0778,-75.6622,1,United States of America
Poyanawa,Critically endangered,2,-7.6238,-73.2568,1,Brazil
Puruborá,Critically endangered,2,-12.3292,-64.2919,1,Brazil
Salamãy,Critically endangered,2,-8.7602,-63.9074,1,Brazil
Spokane,Critically endangered,2,47.9286,-118.0165,1,United States of America
Tharkarri,Critically endangered,2,-24.148,114.6533,1,Australia
Vacacocha,Critically endangered,2,-2.0869,-74.5092,1,Peru
Wangaaybuwan,Critically endangered,2,-31.1093,144.9975,1,Australia
Xipáya,Critically endangered,2,-4.3902,-53.9648,1,Brazil
Apiaká,Critically endangered,1,-11.1519,-57.3113,1,Brazil
Bikya,Critically endangered,1,6.8309,10.0277,1,Cameroon
Bishuo,Critically endangered,1,6.9032,10.0991,1,Cameroon
Diahói,Critically endangered,1,-7.9939,-62.1936,1,Brazil
Laua,Critically endangered,1,-10.1824,149.2053,1,Papua New Guinea
Patwin,Critically endangered,1,38.7608,-122.0354,1,United States of America
Pazeh,Critically endangered,1,24.2469,120.7727,1,China
Pémono,Critically endangered,1,5.6487,-65.8081,1,Venezuela (Bolivarian Republic of)
Taushiro,Critically endangered,1,-3.2502,-75.8935,1,Peru
Tinigua,Critically endangered,1,2.3833,-73.6413,1,Colombia
Tolowa,Critically endangered,1,41.9566,-124.1915,1,United States of America
Uru,Extinct,1,-16.5519,-68.6645,1,Bolivia (Plurinational State of)
Volow,Critically endangered,1,-13.6433,167.7159,1,Vanuatu
Wintu-Nomlaki,Critically endangered,1,39.8637,-122.0822,1,United States of America
Yahgan,Critically endangered,1,-55.0028,-67.4615,1,Chile
Yarawi,Critically endangered,1,-7.9001,147.6411,1,Papua New Guinea
!Gan!ne,Extinct,0,-31.3911,26.6748,1,South Africa
Aasax,Extinct,0,-5.1948,37.738,1,United Republic of Tanzania
Ahom,Extinct,0,26.5393,92.5378,1,India
Ainu (Kuril),Extinct,0,46.8882,152.0068,1,Russian Federation
Ainu (Sakhalin),Extinct,0,47.3983,142.2949,1,Russian Federation
Akkala Saami,Extinct,0,67.5809,31.668,1,Russian Federation
Amanayé,Extinct,0,-3.7327,-49.1088,1,Brazil
Andoa (Ecuador),Extinct,0,-2.3341,-76.5016,1,Ecuador
Antoniano,Extinct,0,35.9717,-121.1757,1,United States of America
Aore,Extinct,0,-15.5767,167.1638,1,Vanuatu
Arapaho (Oklahoma),Extinct,0,35.602,-97.9712,1,United States of America
Arapáso,Extinct,0,0,-66,1,Brazil
Aribwatsa,Extinct,0,-6.6523,147.2291,1,Papua New Guinea
Arman,Extinct,0,59.6732,150.1391,1,Russian Federation
Arta,Extinct,0,16.4225,121.7042,1,Philippines
Atacameño,Extinct,0,-22.7559,-68.247,3,"Argentina, Bolivia (Plurinational State of), Chile"
Atsugewi,Extinct,0,40.8824,-122.6661,1,United States of America
Babuza,Extinct,0,24.01,120.623,1,China
Baga Mboteni,Critically endangered,0,10.7415,-14.5513,1,Guinea
Barbareño,Extinct,0,34.4227,-119.7039,1,United States of America
Barzani Jewish Neo-Aramaic (Iraq),Extinct,0,36.2619,43.9892,1,Iraq
Basay,Extinct,0,25.1378,121.6543,1,China
Baygo,Extinct,0,11.7436,24.6423,1,Sudan
Berakou,Extinct,0,12.8492,15.032,1,Chad
Berti,Extinct,0,14.6898,25.9524,1,Sudan
Bina,Extinct,0,-10.2365,149.6063,1,Papua New Guinea
Birgid,Extinct,0,14.8598,25.0103,1,Sudan
Cacaopera,Extinct,0,13.4109,-87.8741,1,Nicaragua
Cape Khoekhoe,Extinct,0,-34.4522,19.7314,1,South Africa
Cappadocian Greek (Turkey),Extinct,0,38.048,32.6953,1,Turkey
Catawba,Extinct,0,34.9361,-81.0272,1,United States of America
Cayuga (Oklahoma),Extinct,0,36.6302,-94.6441,1,United States of America
Cayuse,Extinct,0,44.9647,-118.5424,1,United States of America
Central Kalapuyan,Extinct,0,43.8,-123.06,1,United States of America
Cholon,Extinct,0,-8.8633,-76.1791,1,Peru
Coptic,Extinct,0,26.8915,29.0959,1,Egypt
Cowlitz,Extinct,0,46.132,-122.8642,1,United States of America
Cupeño,Extinct,0,33.364,-117.0756,1,United States of America
Dalmatian,Extinct,0,45.0599,14.5719,1,Croatia
Deti,Extinct,0,-20.9614,24.461,1,Botswana
Dharug,Critically endangered,0,-34.0344,150.9301,1,Australia
Dhurga,Critically endangered,0,-35.4964,150.249,1,Australia
Dicamay Agta,Extinct,0,16.6998,122.0167,1,Philippines
Dororo,Extinct,0,-8.2169,157.3901,1,Solomon Islands
Duli,Extinct,0,9.3813,13.5708,1,Cameroon
Dura,Extinct,0,28.2898,84.4519,1,Nepal
Eastern Abenaki,Extinct,0,44.9423,-68.7328,1,United States of America
Eastern Pomo,Extinct,0,39.0461,-122.9211,1,United States of America
Eel River Athabaskan,Extinct,0,40.188,-123.6477,1,United States of America
Eliri,Severely endangered,0,4.5706,30.858,1,Sudan
Elmolo,Extinct,0,2.7212,36.7326,1,Kenya
Eotile,Extinct,0,5.2495,-3.3233,1,Côte d'Ivoire
Eyak,Extinct,0,60.2165,-143.3935,1,United States of America
Gaagudju,Extinct,0,-12.2755,132.6379,1,Australia
Gafat,Extinct,0,10.6768,35.8264,1,Ethiopia
Garífuna (Nicaragua),Critically endangered,0,12.5666,-83.7166,1,Nicaragua
Ge'ez,Extinct,0,8.9936,38.7597,1,Ethiopia
Getmata,Extinct,0,-5.8346,149.0405,1,Papua New Guinea
Gey,Extinct,0,9.384,13.5296,1,Cameroon
Gule,Extinct,0,10.0986,34.1235,1,Sudan
Guliguli,Extinct,0,-8.2114,157.4615,1,Solomon Islands
Gününa Küne,Extinct,0,-43.4848,-68.1591,1,Argentina
Hanis,Extinct,0,43.406,-124.2402,1,United States of America
Hoanya,Extinct,0,23.5665,120.3826,1,China
Homa,Extinct,0,5.5011,27.3779,1,Sudan
Horo,Extinct,0,9.239,18.3444,1,Chad
Hpun,Extinct,0,24.65,97.0666,1,Myanmar
Huitoto (Brazil),Extinct,0,-2.3723,-66.0937,1,Brazil
Hukumina,Extinct,0,-3.1514,126.2713,1,Indonesia
Huron-Wyandot (United States of America),Extinct,0,36.7923,-94.7229,1,United States of America
Ifo,Extinct,0,-18.6605,169.1434,1,Vanuatu
Ineseño,Extinct,0,34.5942,-120.1371,1,United States of America
Island Carib,Extinct,0,15.4325,-61.2817,1,Dominica
Island Chumash,Extinct,0,34.3821,-119.4574,1,United States of America
Jorá,Critically endangered,0,-14.0246,-63.3581,1,Bolivia (Plurinational State of)
Judeo-Berber (Morocco),Extinct,0,30.822,-6.8005,1,Morocco
Kamas,Extinct,0,57.9964,92.8784,1,Russian Federation
Kamas Turk,Extinct,0,58.109,92.7101,1,Russian Federation
Kaniet,Extinct,0,-0.898,145.5441,1,Papua New Guinea
Kansa,Extinct,0,36.7657,-96.8652,1,United States of America
Karaim (Crimea),Extinct,0,45.058,33.9477,1,Ukraine
Karami,Extinct,0,-7.1335,143.8659,1,Papua New Guinea
Karelian (Valday),Extinct,0,58.0284,33.3215,1,Russian Federation
Katabaga,Extinct,0,13.4366,122.5569,1,Philippines
Kato,Extinct,0,39.677,-123.4944,1,United States of America
Kayeli,Extinct,0,-3.39,127.1008,1,Indonesia
Kazukuru,Extinct,0,-8.1598,157.4629,1,Solomon Islands
Kerek,Extinct,0,62.5996,176.9183,1,Russian Federation
Ketangalan,Extinct,0,25.0433,121.4813,1,China
Klamath-Modoc,Extinct,0,42.5767,-121.8637,1,United States of America
Konomihu,Extinct,0,41.2583,-123.3216,1,United States of America
Krenjê,Extinct,0,-2.5644,-46.6589,1,Brazil
Kulun,Extinct,0,24.9823,121.3591,1,China
Kurtjar,Extinct,0,-18.0623,140.4052,1,Australia
Kw'adza,Extinct,0,-5.3753,35.8621,1,United Republic of Tanzania
Kwadi,Extinct,0,-15.2523,12.2277,1,Angola
Laghu,Extinct,0,-7.6157,158.7359,1,Solomon Islands
Lenca,Extinct,0,13.6459,-87.0996,2,"El Salvador, Honduras"
Li-Ngbee,Extinct,0,2.4931,28.059,1,Democratic Republic of the Congo
Liliali,Extinct,0,-3.39,127.1008,1,Indonesia
Lipan,Extinct,0,33.1513,-105.799,1,United States of America
Lishan Didan (Iran),Extinct,0,37.9615,44.6044,1,Iran (Islamic Republic of)
Lishana Deni (Iraq),Extinct,0,36.9279,42.5115,1,Iraq
Lishanid Noshan (Iraq),Extinct,0,36.1777,44.165,1,Iraq
Lower Chehalis,Extinct,0,46.3227,-123.9724,1,United States of America
Mapia,Extinct,0,0.8321,134.3023,1,Indonesia
Maragus,Extinct,0,-16.0405,167.2778,1,Vanuatu
Marrgu,Extinct,0,-11.3292,132.0227,1,Australia
Matagalpa,Extinct,0,12.9517,-85.4381,1,Nicaragua
Mattole,Extinct,0,39.1375,-123.6931,1,United States of America
Miami-Illinois,Extinct,0,36.8866,-94.8775,1,United States of America
Migueleño,Extinct,0,35.7587,-120.6951,1,United States of America
Miraña (Brazil),Critically endangered,0,-2.021,-65.6982,1,Brazil
Mirití Tapuia,Critically endangered,0,0.3076,-69.1699,1,Brazil
Mlahso (Syria),Extinct,0,37.0542,41.2363,1,Syrian Arab Republic
Mlahso (Turkey),Extinct,0,38.4595,40.6507,1,Turkey
Moksela,Extinct,0,-3.4654,127.1694,1,Indonesia
Molala,Extinct,0,44.8636,-122.4645,1,United States of America
Mulaha,Extinct,0,-9.7002,147.4351,1,Papua New Guinea
Múra,Extinct,0,-3.3598,-59.2382,1,Brazil
Nagumi,Extinct,0,8.6814,13.1835,1,Cameroon
Naka'ela,Extinct,0,-2.847,128.5208,1,Indonesia
Natchez,Extinct,0,31.5544,-91.3875,1,United States of America
New River Shasta,Extinct,0,45.2835,-121.7134,1,United States of America
Ngarla,Extinct,0,-20.5916,119.0917,1,Australia
Ngong,Extinct,0,9.0044,13.5104,1,Cameroon
Nila (Nila Island),Extinct,0,-6.7331,129.5288,1,Indonesia
Nisenan,Extinct,0,38.7654,-121.0064,1,United States of America
Nooksack,Extinct,0,49.0378,-122.4865,1,United States of America
Northeastern Pomo,Extinct,0,39.3774,-122.5454,1,United States of America
Nukiní,Extinct,0,-7.4931,-73.4765,1,Brazil
Nupbikha,Vulnerable,0,27.3937,90.5003,1,Bhutan
Nyang'i,Extinct,0,3.5024,33.3764,1,Uganda
Obispeño,Extinct,0,35.2692,-120.6707,1,United States of America
Odut,Extinct,0,5.3077,8.2672,1,Nigeria
Old Sirenik,Extinct,0,64.4194,-173.9657,1,Russian Federation
Omagua (Brazil),Critically endangered,0,-3.5572,-64.5117,1,Brazil
Ona,Extinct,0,-54.6229,-67.4121,1,Argentina
Ongkor Solon,Extinct,0,46.7774,83.0456,1,China
Orang Kanaq,Extinct,0,1.8858,103.9814,1,Malaysia
Palumata,Extinct,0,-3.1569,126.0516,1,Indonesia
Panobo,Extinct,0,-6.97,-74.9267,1,Peru
Papora,Extinct,0,24.2006,120.6037,1,China
Pentlatch,Extinct,0,49.6971,-125.0033,1,Canada
Pijao,Extinct,0,3.9519,-75.0146,1,Colombia
Piru,Extinct,0,-3.05,128.1747,1,Indonesia
Purisimeño,Extinct,0,34.6608,-120.4711,1,United States of America
Quapaw,Extinct,0,36.9494,-94.7877,1,United States of America
Quileute,Extinct,0,47.9083,-124.6365,1,United States of America
Rangkas,Extinct,0,30.0358,80.1342,1,India
Sanhaja of Srair,Critically endangered,0,34.8318,-4.9658,1,Morocco
Sened,Extinct,0,35.5858,10.8984,1,Tunisia
Serrano,Extinct,0,34.1212,-117.2221,1,United States of America
Seru,Extinct,0,1.9195,111.2049,1,Malaysia
Seward Peninsula Inupiaq (Big Diomede Island),Extinct,0,65.7853,-169.0686,1,Russian Federation
Singa,Extinct,0,-0.1373,33.695,1,Uganda
Siraiya,Extinct,0,23.0013,120.3634,1,China
Sishee,Extinct,0,-21.7193,165.6738,1,New Caledonia (France)
Siuslaw,Extinct,0,43.3773,-124.2371,1,United States of America
Slovincian,Extinct,0,54.6484,17.2485,1,Poland
Southeastern Pomo,Extinct,0,39.016,-122.6779,1,United States of America
Southern Khanty,Extinct,0,60.4301,69.9829,1,Russian Federation
Southern Mansi,Extinct,0,58.4362,65.5664,1,Russian Federation
Subtiaba,Extinct,0,12.5266,-86.667,1,Nicaragua
Taman,Extinct,0,25.1651,95.2514,1,Myanmar
Tandia,Extinct,0,-2.8552,134.522,1,Indonesia
Taokas,Extinct,0,24.4471,120.7232,1,China
Te'un (Te'un Island),Extinct,0,-6.9809,129.1394,1,Indonesia
Tetete,Extinct,0,-0.0109,-76.5966,1,Ecuador
Tillamook,Extinct,0,45.3449,-123.5309,1,United States of America
Togoyo,Extinct,0,8.5049,24.7961,1,Sudan
Tonjon,Extinct,0,8.4397,-4.3807,1,Côte d'Ivoire
Torá,Extinct,0,-6.6646,-61.4135,1,Brazil
Tsetsaut,Extinct,0,55.936,-129.9911,1,Canada
Tunica,Extinct,0,31.1262,-92.0673,1,United States of America
Tututni,Extinct,0,42.5756,-124.0688,1,United States of America
Twana,Extinct,0,47.3344,-123.1607,1,United States of America
Ubykh (Caucasus),Extinct,0,43.5585,39.8597,1,Russian Federation
Ubykh (Turkey),Extinct,0,40.0402,28.0096,1,Turkey
Umutina,Extinct,0,-15.0425,-57.1026,1,Brazil
Upper Chehalis,Extinct,0,46.4111,-122.9949,1,United States of America
Uruava,Extinct,0,-5.9821,155.3137,1,Papua New Guinea
Ventureño,Extinct,0,34.2809,-119.2979,1,United States of America
Vilela,Extinct,0,-26.9808,-59.6777,1,Argentina
Wanai,Critically endangered,0,7.1117,-66.7199,1,Venezuela (Bolivarian Republic of)
Wangkumara,Critically endangered,0,-27.2064,142.4597,1,Australia
Wappo,Extinct,0,38.8701,-122.5154,1,United States of America
Western Mansi,Extinct,0,61.1432,62.4023,1,Russian Federation
Wiyot,Extinct,0,40.5984,-124.2519,1,United States of America
Xakriabá,Extinct,0,-14.5306,-44.0438,1,Brazil
Yaaku,Extinct,0,0.4394,37.1777,1,Kenya
Yameo,Extinct,0,-4.4449,-73.5644,1,Peru
Yir Yoront,Extinct,0,-16.3095,141.4489,1,Australia
Yoba,Extinct,0,-10.0337,149.2272,1,Papua New Guinea
Yug,Extinct,0,61.0901,88.1982,1,Russian Federation
Yuki,Extinct,0,37.4336,-118.5908,1,United States of America
Yurutí (Brazil),Extinct,0,-0.1318,-69.1699,1,Brazil
Zeem,Extinct,0,9.8389,9.0911,1,Nigeria
|'Auni,Extinct,0,-26.0105,20.363,1,South Africa
|Xam,Extinct,0,-32.2853,20.759,1,South Africa
ǁKu ǁ'e,Extinct,0,-29.9739,27.0812,1,South Africa
ǁXegwi,Extinct,0,-25.35,30.99,1,South Africa
